"","language","target","observations_per_class","top_k_words","classifier","hidden_layers","hidden_units","dropout_rate","learning_rate","epochs","Accuracy","Precision","Recall","F1"
"1","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,0.01,100,0.824009299278259,0.837248891503031,0.824009324009324,0.830576350711612
"2","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,0.001,100,0.82051283121109,0.832666918569567,0.82051282051282,0.826545191368554
"3","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,1e-04,100,0.777389287948608,0.781365740740741,0.777389277389277,0.779372436984855
"4","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,0.01,100,0.798368275165558,0.81056013030495,0.798368298368298,0.804418021863633
"5","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,0.001,100,0.829836845397949,0.842986693787609,0.82983682983683,0.836360077065
"6","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,1e-04,100,0.773892760276794,0.773916587420187,0.773892773892774,0.773904680473291
"7","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,0.01,100,0.815850794315338,0.836387836000116,0.815850815850816,0.825991690248822
"8","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,0.001,100,0.844988346099854,0.858404082369942,0.844988344988345,0.851643383219585
"9","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,1e-04,100,0.782051265239716,0.782864335847247,0.782051282051282,0.782457597737725
"10","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,0.01,100,0.80303031206131,0.805301305071385,0.803030303030303,0.804164200696708
"11","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,0.001,100,0.818181812763214,0.831503863681395,0.818181818181818,0.824789049806957
"12","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,1e-04,100,0.78554779291153,0.787572847410326,0.785547785547785,0.786559013058497
"13","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,0.01,100,0.829836845397949,0.847224367224367,0.82983682983683,0.838440462745174
"14","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,0.001,100,0.811188817024231,0.828321972975917,0.811188811188811,0.81966586987987
"15","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,1e-04,100,0.757575750350952,0.760314104500151,0.757575757575758,0.758942460982628
"16","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,0.01,100,0.83799535036087,0.846971218206158,0.837995337995338,0.84245937067503
"17","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,0.001,100,0.805361330509186,0.825617641605636,0.805361305361305,0.815363684257679
"18","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,1e-04,100,0.775058269500732,0.789878143753722,0.775058275058275,0.782398037702691
"19","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,0.01,100,0.810023307800293,0.824630177514793,0.81002331002331,0.817261482054706
"20","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,0.001,100,0.817016303539276,0.827011030400861,0.817016317016317,0.821983292737191
"21","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,1e-04,100,0.807692289352417,0.817393058918483,0.807692307692308,0.812513729572784
"22","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,0.01,100,0.825174808502197,0.847177987782593,0.825174825174825,0.836031658563977
"23","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,0.001,100,0.805361330509186,0.816649763353617,0.805361305361305,0.810966253095359
"24","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,1e-04,100,0.821678340435028,0.834187590317919,0.821678321678322,0.827885705251317
"25","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,0.01,100,0.864801853895187,0.871290305211888,0.864801864801865,0.868033960115214
"26","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,0.001,100,0.841491848230362,0.84967136411977,0.841491841491842,0.845561822163051
"27","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,1e-04,100,0.763986021280289,0.784308187736929,0.763986013986014,0.774013731264949
"28","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,0.01,100,0.863636374473572,0.869071328708898,0.863636363636364,0.866345322275187
"29","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,0.001,100,0.863636344671249,0.870973904971885,0.863636363636364,0.867289615108307
"30","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,1e-04,100,0.786130547523499,0.786863938827473,0.786130536130536,0.786497066505894
"31","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,0.01,100,0.857226103544235,0.868717136406501,0.857226107226107,0.862933369181951
"32","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,0.001,100,0.867715626955032,0.875097323019796,0.867715617715618,0.871390837716628
"33","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,1e-04,100,0.799533814191818,0.799626680386727,0.7995337995338,0.799580237262957
"34","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,0.01,100,0.851981341838837,0.858661860348429,0.851981351981352,0.855308561600214
"35","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,0.001,100,0.870629370212555,0.880256594774497,0.870629370629371,0.875416515117359
"36","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,1e-04,100,0.805944055318832,0.808994271581529,0.805944055944056,0.807466283214577
"37","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,0.01,100,0.858391612768173,0.864510354212661,0.858391608391608,0.861440116188728
"38","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,0.001,100,0.880536139011383,0.886962376674665,0.880536130536131,0.88373757137787
"39","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,1e-04,100,0.787296056747437,0.795714062437729,0.787296037296037,0.791482667461585
"40","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,0.01,100,0.872960388660431,0.87520668179684,0.872960372960373,0.874082084180322
"41","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,0.001,100,0.860722631216049,0.869651228546233,0.860722610722611,0.865163884087296
"42","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,1e-04,100,0.814685314893723,0.820982130272164,0.814685314685315,0.817821602079004
"43","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,0.01,100,0.865384608507156,0.875993046804845,0.865384615384615,0.870656517938417
"44","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,0.001,100,0.856643378734589,0.863779882254076,0.856643356643357,0.860196817859014
"45","sv","d_fr_wel",1287,10000,"MLP",3,64,0.2,1e-04,100,0.824592083692551,0.830510388938184,0.824592074592075,0.827540650412775
"46","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,0.01,100,0.844988346099854,0.872743099173114,0.844988344988345,0.858641494253244
"47","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,0.001,100,0.865384608507156,0.874639213106547,0.865384615384615,0.869987303209343
"48","sv","d_fr_wel",1287,10000,"MLP",3,128,0.2,1e-04,100,0.844405591487885,0.851648500534448,0.844405594405594,0.848011582253037
"49","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,0.01,100,0.8745143810908,0.880508744362806,0.874514374514375,0.877501322402539
"50","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,0.001,100,0.86091685295105,0.867512033655365,0.860916860916861,0.864201864673201
"51","sv","d_fr_wel",1287,10000,"MLP",2,16,0.2,1e-04,100,0.796814302603404,0.79834893379825,0.796814296814297,0.797580877102613
"52","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,0.01,100,0.874125878016154,0.879308891065346,0.874125874125874,0.876709722297911
"53","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,0.001,100,0.865578850110372,0.872048687728891,0.865578865578866,0.868801731898208
"54","sv","d_fr_wel",1287,10000,"MLP",2,32,0.2,1e-04,100,0.788267294565837,0.794262371118781,0.788267288267288,0.791253474133856
"55","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,0.01,100,0.870629370212555,0.880130912990467,0.870629370629371,0.875354358923454
"56","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,0.001,100,0.870629370212555,0.877144463688029,0.870629370629371,0.873874774158064
"57","sv","d_fr_wel",1287,10000,"MLP",2,64,0.2,1e-04,100,0.803418795267741,0.804453147482999,0.803418803418803,0.803935642754121
"58","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,0.01,100,0.866744379202525,0.875714069097254,0.866744366744367,0.871206131126129
"59","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,0.001,100,0.874514361222585,0.881649535779748,0.874514374514375,0.87806746033653
"60","sv","d_fr_wel",1287,10000,"MLP",2,128,0.2,1e-04,100,0.813519815603892,0.815880438510546,0.813519813519814,0.814698416014724
"61","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,0.01,100,0.876068373521169,0.885873605557328,0.876068376068376,0.880943707699579
"62","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,0.001,100,0.871406376361847,0.878717304853759,0.871406371406371,0.875046567852714
"63","sv","d_fr_wel",1287,10000,"MLP",3,16,0.2,1e-04,100,0.743978242079417,0.788657591094279,0.743978243978244,0.765666672141552
"64","sv","d_fr_wel",1287,10000,"MLP",3,32,0.2,0.01,100,0.883838375409444,0.895220044638846,0.883838383838384,0.889492806720879
