"","language","target","observations_per_class","top_k_words","classifier","n_estimators","criterion","Accuracy","Precision","Recall","F1"
"1","sv","d_fr_wel",1287,10000,"Random Forest",50,"entropy",0.65967365967366,0.67091037041776,0.65967365967366,0.665244568336035
"2","sv","d_fr_wel",1287,10000,"Random Forest",100,"entropy",0.668997668997669,0.68043300440314,0.668997668997669,0.674666884083159
"3","sv","d_fr_wel",1287,10000,"Random Forest",200,"entropy",0.671328671328671,0.683385579937304,0.671328671328671,0.677303472604291
"4","sv","d_fr_wel",1287,10000,"Random Forest",300,"entropy",0.660839160839161,0.668072904837611,0.660839160839161,0.664436344909596
"5","sv","d_fr_wel",1287,10000,"Random Forest",50,"gini",0.663170163170163,0.671216475095785,0.663170163170163,0.66716905962162
"6","sv","d_fr_wel",1287,10000,"Random Forest",100,"gini",0.657342657342657,0.663011354360761,0.657342657342657,0.660164837097876
"7","sv","d_fr_wel",1287,10000,"Random Forest",200,"gini",0.660839160839161,0.665910008071025,0.660839160839161,0.663364894043276
"8","sv","d_fr_wel",1287,10000,"Random Forest",300,"gini",0.657342657342657,0.662167838042169,0.657342657342657,0.659746425341676
"9","sv","d_fr_wel",1287,10000,"Random Forest",50,"entropy",0.687645687645688,0.698574973323805,0.687645687645688,0.693067245971293
"10","sv","d_fr_wel",1287,10000,"Random Forest",100,"entropy",0.677738927738928,0.687024180342391,0.677738927738928,0.682349967637349
"11","sv","d_fr_wel",1287,10000,"Random Forest",200,"entropy",0.690559440559441,0.69914312056451,0.690559440559441,0.694824771449705
"12","sv","d_fr_wel",1287,10000,"Random Forest",300,"entropy",0.701048951048951,0.711152736576516,0.701048951048951,0.70606469937144
"13","sv","d_fr_wel",1287,10000,"Random Forest",50,"gini",0.693473193473193,0.699574404856637,0.693473193473193,0.696510438250187
"14","sv","d_fr_wel",1287,10000,"Random Forest",100,"gini",0.670745920745921,0.676042326789301,0.670745920745921,0.673383709392141
"15","sv","d_fr_wel",1287,10000,"Random Forest",200,"gini",0.691724941724942,0.696242474631431,0.691724941724942,0.693976356383281
"16","sv","d_fr_wel",1287,10000,"Random Forest",300,"gini",0.698135198135198,0.702935014505048,0.698135198135198,0.700526884663215
"17","sv","d_fr_wel",1287,10000,"Random Forest",50,"entropy",0.65967365967366,0.669971878402308,0.65967365967366,0.664782888744347
"18","sv","d_fr_wel",1287,10000,"Random Forest",100,"entropy",0.651515151515151,0.664044699176752,0.651515151515151,0.657720258898803
"19","sv","d_fr_wel",1287,10000,"Random Forest",200,"entropy",0.659285159285159,0.67084386661592,0.659285159285159,0.665014290862097
"20","sv","d_fr_wel",1287,10000,"Random Forest",300,"entropy",0.655011655011655,0.664960774634978,0.655011655011655,0.65994871972908
"21","sv","d_fr_wel",1287,10000,"Random Forest",50,"gini",0.643745143745144,0.650643587547022,0.643745143745144,0.647175983020471
"22","sv","d_fr_wel",1287,10000,"Random Forest",100,"gini",0.647630147630148,0.653422602984372,0.647630147630148,0.650513480926531
"23","sv","d_fr_wel",1287,10000,"Random Forest",200,"gini",0.655011655011655,0.661410114406589,0.655011655011655,0.658195334874115
"24","sv","d_fr_wel",1287,10000,"Random Forest",300,"gini",0.658896658896659,0.663700309942065,0.658896658896659,0.661289761027463
"25","es","d_fr_eco",1274,10000,"Random Forest",50,"entropy",0.378823529411765,0.215528781793842,0.378823529411765,0.274744027303754
"26","es","d_fr_eco",1274,10000,"Random Forest",100,"entropy",0.361176470588235,0.209699453551913,0.361176470588235,0.265341400172861
"27","es","d_fr_eco",1274,10000,"Random Forest",200,"entropy",0.381176470588235,0.216288384512684,0.381176470588235,0.275979557069847
"28","es","d_fr_eco",1274,10000,"Random Forest",300,"entropy",0.375294117647059,0.214381720430108,0.375294117647059,0.272882805816938
"29","es","d_fr_eco",1274,10000,"Random Forest",50,"gini",0.375294117647059,0.214381720430108,0.375294117647059,0.272882805816938
"30","es","d_fr_eco",1274,10000,"Random Forest",100,"gini",0.36,0.209302325581395,0.36,0.264705882352941
"31","es","d_fr_eco",1274,10000,"Random Forest",200,"gini",0.357647058823529,0.208504801097394,0.357647058823529,0.263431542461005
"32","es","d_fr_eco",1274,10000,"Random Forest",300,"gini",0.362352941176471,0.210095497953615,0.362352941176471,0.265975820379965
"33","es","d_fr_eco",1274,10000,"Random Forest",50,"entropy",0.5127333194762,0.435240752104696,0.512801054384018,0.470848258088581
"34","es","d_fr_eco",1274,10000,"Random Forest",100,"entropy",0.518035058546387,0.43977161417754,0.518086847946726,0.47572767463034
"35","es","d_fr_eco",1274,10000,"Random Forest",200,"entropy",0.513919490057507,0.440030686187519,0.51397475027747,0.474137050802758
"36","es","d_fr_eco",1274,10000,"Random Forest",300,"entropy",0.516860666528095,0.440558897637211,0.516911764705882,0.475690976634699
"37","es","d_fr_eco",1274,10000,"Random Forest",50,"gini",0.510387999722857,0.436461976767448,0.510431465038846,0.470557544067845
"38","es","d_fr_eco",1274,10000,"Random Forest",100,"gini",0.51274371232592,0.439385765125554,0.512792730299667,0.473259640363798
"39","es","d_fr_eco",1274,10000,"Random Forest",200,"gini",0.515689045936396,0.44181473554926,0.515726970033296,0.475918225916348
"40","es","d_fr_eco",1274,10000,"Random Forest",300,"gini",0.516280745513753,0.44313416475657,0.516305493895671,0.476929636446506
"41","es","d_fr_eco",1274,10000,"Random Forest",50,"entropy",0.572686205224139,0.525505749341741,0.572684979652238,0.548081934081888
"42","es","d_fr_eco",1274,10000,"Random Forest",100,"entropy",0.57386406152567,0.524968143798387,0.573872549019608,0.548332090001279
"43","es","d_fr_eco",1274,10000,"Random Forest",200,"entropy",0.576610545278182,0.527322253225808,0.576613022567518,0.550867220147737
"44","es","d_fr_eco",1274,10000,"Random Forest",300,"entropy",0.576614240513638,0.528676273447567,0.576622271550129,0.551609363985237
"45","es","d_fr_eco",1274,10000,"Random Forest",50,"gini",0.574259913623871,0.526038771614323,0.574261931187569,0.549093607043106
"46","es","d_fr_eco",1274,10000,"Random Forest",100,"gini",0.582505831543454,0.534551751273529,0.582512948575657,0.557502742397399
"47","es","d_fr_eco",1274,10000,"Random Forest",200,"gini",0.581721517817963,0.533426149164116,0.581728634850166,0.556531290534549
"48","es","d_fr_eco",1274,10000,"Random Forest",300,"gini",0.583681378322825,0.533536161899591,0.583689419163892,0.557487078206114
