"","language","target","observations_per_class","top_k_words","classifier","C","kernel","Accuracy","Precision","Recall","F1"
"1","sv","d_fr_wel",1287,10000,"SVM",1,"rbf",0.749417249417249,0.765310722707726,0.749417249417249,0.757280603931213
"2","sv","d_fr_wel",1287,10000,"SVM",1,"linear",0.721445221445221,0.733901515151515,0.721445221445221,0.727620061670815
"3","sv","d_fr_wel",1287,10000,"SVM",1,"sigmoid",0.696969696969697,0.700384179541748,0.696969696969697,0.698672766552537
"4","sv","d_fr_wel",1287,10000,"SVM",1,"poly",0.658508158508158,0.735227712553219,0.658508158508158,0.69475638409003
"5","sv","d_fr_wel",1287,10000,"SVM",3,"rbf",0.785547785547786,0.79931312187815,0.785547785547785,0.792370674181716
"6","sv","d_fr_wel",1287,10000,"SVM",3,"linear",0.748251748251748,0.764393391394925,0.748251748251748,0.756236444982641
"7","sv","d_fr_wel",1287,10000,"SVM",3,"sigmoid",0.668997668997669,0.670479771542581,0.668997668997669,0.66973790031307
"8","sv","d_fr_wel",1287,10000,"SVM",3,"poly",0.67948717948718,0.744326923076923,0.67948717948718,0.710430667412411
"9","sv","d_fr_wel",1287,10000,"SVM",5,"rbf",0.782051282051282,0.794736543265955,0.782051282051282,0.788342886182671
"10","sv","d_fr_wel",1287,10000,"SVM",5,"linear",0.762237762237762,0.781418916948984,0.762237762237762,0.771709169087063
"11","sv","d_fr_wel",1287,10000,"SVM",5,"sigmoid",0.648018648018648,0.648408941091868,0.648018648018648,0.648213735805859
"12","sv","d_fr_wel",1287,10000,"SVM",5,"poly",0.691142191142191,0.747704484001803,0.691142191142191,0.718311581528492
"13","sv","d_fr_wel",1287,10000,"SVM",1,"rbf",0.752913752913753,0.766626517383843,0.752913752913753,0.759708261201431
"14","sv","d_fr_wel",1287,10000,"SVM",1,"linear",0.730769230769231,0.743187787333037,0.730769230769231,0.736926193907193
"15","sv","d_fr_wel",1287,10000,"SVM",1,"sigmoid",0.696969696969697,0.702800428529401,0.696969696969697,0.699872918816091
"16","sv","d_fr_wel",1287,10000,"SVM",1,"poly",0.666666666666667,0.736604240891994,0.666666666666667,0.699892645508249
"17","sv","d_fr_wel",1287,10000,"SVM",3,"rbf",0.787878787878788,0.797097554727895,0.787878787878788,0.792461361546018
"18","sv","d_fr_wel",1287,10000,"SVM",3,"linear",0.752913752913753,0.766913731521972,0.752913752913753,0.759849261412298
"19","sv","d_fr_wel",1287,10000,"SVM",3,"sigmoid",0.656759906759907,0.659655705637891,0.656759906759907,0.658204621167112
"20","sv","d_fr_wel",1287,10000,"SVM",3,"poly",0.692307692307692,0.745768679203085,0.692307692307692,0.718044470408815
"21","sv","d_fr_wel",1287,10000,"SVM",5,"rbf",0.790792540792541,0.798319546845604,0.790792540792541,0.794538217568626
"22","sv","d_fr_wel",1287,10000,"SVM",5,"linear",0.766317016317016,0.780905536905865,0.766317016317016,0.773542500166666
"23","sv","d_fr_wel",1287,10000,"SVM",5,"sigmoid",0.638111888111888,0.639020201031166,0.638111888111888,0.638565721569558
"24","sv","d_fr_wel",1287,10000,"SVM",5,"poly",0.702797202797203,0.750229105569732,0.702797202797203,0.725738981896404
"25","sv","d_fr_wel",1287,10000,"SVM",1,"rbf",0.75951825951826,0.771370914002049,0.75951825951826,0.765398703158408
"26","sv","d_fr_wel",1287,10000,"SVM",1,"linear",0.703962703962704,0.716343758776741,0.703962703962704,0.71009926748153
"27","sv","d_fr_wel",1287,10000,"SVM",1,"sigmoid",0.675602175602176,0.683048271034253,0.675602175602176,0.679304819123257
"28","sv","d_fr_wel",1287,10000,"SVM",1,"poly",0.64024864024864,0.710183713042215,0.64024864024864,0.673405306817433
"29","sv","d_fr_wel",1287,10000,"SVM",3,"rbf",0.797591297591298,0.805774385178219,0.797591297591298,0.801661959397831
"30","sv","d_fr_wel",1287,10000,"SVM",3,"linear",0.740870240870241,0.755798192064979,0.740870240870241,0.748259769876111
"31","sv","d_fr_wel",1287,10000,"SVM",3,"sigmoid",0.635198135198135,0.638967646142418,0.635198135198135,0.637077314781735
"32","sv","d_fr_wel",1287,10000,"SVM",3,"poly",0.666666666666667,0.725186202264059,0.666666666666667,0.694696226832438
"33","sv","d_fr_wel",1287,10000,"SVM",5,"rbf",0.7999222999223,0.806647813839099,0.7999222999223,0.803270979518916
"34","sv","d_fr_wel",1287,10000,"SVM",5,"linear",0.759129759129759,0.774937927650915,0.759129759129759,0.766952393857781
"35","sv","d_fr_wel",1287,10000,"SVM",5,"sigmoid",0.617715617715618,0.619585580107258,0.617715617715618,0.618649185852374
"36","sv","d_fr_wel",1287,10000,"SVM",5,"poly",0.677156177156177,0.73009373999634,0.677156177156177,0.702629262813445
"37","es","d_fr_eco",1274,10000,"SVM",1,"rbf",0.652941176470588,0.668461557225095,0.652941176470588,0.66061022044235
"38","es","d_fr_eco",1274,10000,"SVM",1,"linear",0.645882352941176,0.65784492260507,0.645882352941176,0.651808755484608
"39","es","d_fr_eco",1274,10000,"SVM",1,"sigmoid",0.631764705882353,0.634178242828793,0.631764705882353,0.632969173635545
"40","es","d_fr_eco",1274,10000,"SVM",1,"poly",0.629411764705882,0.673921130952381,0.629411764705882,0.650906441045652
"41","es","d_fr_eco",1274,10000,"SVM",3,"rbf",0.663529411764706,0.691328596135535,0.663529411764706,0.677143809986186
"42","es","d_fr_eco",1274,10000,"SVM",3,"linear",0.654117647058824,0.673484522718916,0.654117647058823,0.663659824245669
"43","es","d_fr_eco",1274,10000,"SVM",3,"sigmoid",0.597647058823529,0.598433985746257,0.597647058823529,0.598040263416991
"44","es","d_fr_eco",1274,10000,"SVM",3,"poly",0.636470588235294,0.689615384615385,0.636470588235294,0.661978059474861
"45","es","d_fr_eco",1274,10000,"SVM",5,"rbf",0.674117647058823,0.706820812289562,0.674117647058823,0.690081994092162
"46","es","d_fr_eco",1274,10000,"SVM",5,"linear",0.652941176470588,0.678566811459303,0.652941176470588,0.665507403942757
"47","es","d_fr_eco",1274,10000,"SVM",5,"sigmoid",0.594117647058824,0.594143186248449,0.594117647058824,0.594130416379181
"48","es","d_fr_eco",1274,10000,"SVM",5,"poly",0.649411764705882,0.704102854982038,0.649411764705882,0.67565236597705
"49","es","d_fr_eco",1274,10000,"SVM",1,"rbf",0.700439963971454,0.7098053975938,0.700473085460599,0.705108363920118
"50","es","d_fr_eco",1274,10000,"SVM",1,"linear",0.683954132889905,0.691376379389124,0.683987236403996,0.687661958805953
"51","es","d_fr_eco",1274,10000,"SVM",1,"sigmoid",0.623891775791589,0.628124477011686,0.623956714761376,0.62603365933869
"52","es","d_fr_eco",1274,10000,"SVM",1,"poly",0.669829557264602,0.699658978174603,0.669905660377359,0.684459129009883
"53","es","d_fr_eco",1274,10000,"SVM",3,"rbf",0.721046213538419,0.737231531260879,0.721083518312986,0.729068120812722
"54","es","d_fr_eco",1274,10000,"SVM",3,"linear",0.700439271114806,0.711172928667731,0.70046614872364,0.70577893513823
"55","es","d_fr_eco",1274,10000,"SVM",3,"sigmoid",0.582097969930021,0.583823579720177,0.582154550499445,0.582987870551154
"56","es","d_fr_eco",1274,10000,"SVM",3,"poly",0.698093951361463,0.731060223909061,0.698157602663707,0.714230180785051
"57","es","d_fr_eco",1274,10000,"SVM",5,"rbf",0.734585325296196,0.752683409007859,0.734617092119867,0.743540524316326
"58","es","d_fr_eco",1274,10000,"SVM",5,"linear",0.70632924547911,0.720683226085571,0.706360987791343,0.713450235826209
"59","es","d_fr_eco",1274,10000,"SVM",5,"sigmoid",0.576210766992309,0.5771006977296,0.576259711431742,0.576679897973149
"60","es","d_fr_eco",1274,10000,"SVM",5,"poly",0.711631677405945,0.744276216898595,0.711688401775805,0.727617614453528
"61","es","d_fr_eco",1274,10000,"SVM",1,"rbf",0.722162174646066,0.729919384303726,0.72215871254162,0.726018309859668
"62","es","d_fr_eco",1274,10000,"SVM",1,"linear",0.707638051687106,0.713072277457558,0.707645209027007,0.710348377679801
"63","es","d_fr_eco",1274,10000,"SVM",1,"sigmoid",0.638542691517125,0.643106937341696,0.638551609322975,0.64082117795724
"64","es","d_fr_eco",1274,10000,"SVM",1,"poly",0.693510242730779,0.718524621240536,0.693512763596004,0.705797171009011
"65","es","d_fr_eco",1274,10000,"SVM",3,"rbf",0.742181574632209,0.754477007337182,0.74218183499815,0.748278918254587
"66","es","d_fr_eco",1274,10000,"SVM",3,"linear",0.722161712741634,0.730236716112516,0.722159637439882,0.726175717617677
"67","es","d_fr_eco",1274,10000,"SVM",3,"sigmoid",0.587123028245456,0.589916367912943,0.587117092119867,0.588513401332374
"68","es","d_fr_eco",1274,10000,"SVM",3,"poly",0.717457216101988,0.744142906253035,0.717454679985202,0.730555134595039
"69","es","d_fr_eco",1274,10000,"SVM",5,"rbf",0.75434859927481,0.767531187509384,0.754348871624121,0.760882937862628
"70","es","d_fr_eco",1274,10000,"SVM",5,"linear",0.729229312455253,0.739938804652291,0.729228634850167,0.734544681404031
"71","es","d_fr_eco",1274,10000,"SVM",5,"sigmoid",0.581627751218273,0.583451969448302,0.581621346651868,0.582535219865991
"72","es","d_fr_eco",1274,10000,"SVM",5,"poly",0.730801173237257,0.755538998110431,0.730803736588975,0.742965549018489
"73","de","d_fr_lab",3611,10000,"SVM",1,"rbf",0.670681063122924,0.687747136048418,0.670681063122924,0.679106898172569
"74","de","d_fr_lab",3611,10000,"SVM",1,"linear",0.649916943521595,0.661543224605605,0.649916943521595,0.655678549745163
"75","de","d_fr_lab",3611,10000,"SVM",1,"sigmoid",0.574750830564784,0.574785705412232,0.574750830564784,0.574768267459488
"76","de","d_fr_lab",3611,10000,"SVM",1,"poly",0.635797342192691,0.68126402500168,0.635797342192691,0.657745898887397
"77","de","d_fr_lab",3611,10000,"SVM",3,"rbf",0.681893687707641,0.701550174279949,0.681893687707641,0.691582287646138
"78","de","d_fr_lab",3611,10000,"SVM",3,"linear",0.654900332225914,0.67422671213479,0.654900332225914,0.664423013053716
"79","de","d_fr_lab",3611,10000,"SVM",3,"sigmoid",0.575166112956811,0.575174877039312,0.575166112956811,0.575170494964676
"80","de","d_fr_lab",3611,10000,"SVM",3,"poly",0.654900332225914,0.695188311614933,0.654900332225914,0.674443205360168
"81","de","d_fr_lab",3611,10000,"SVM",5,"rbf",0.68687707641196,0.705676020408163,0.68687707641196,0.696149659066962
"82","de","d_fr_lab",3611,10000,"SVM",5,"linear",0.655730897009967,0.677190152701414,0.655730897009967,0.666287784071482
"83","de","d_fr_lab",3611,10000,"SVM",5,"sigmoid",0.574335548172757,0.574344215414568,0.574335548172757,0.574339881760964
"84","de","d_fr_lab",3611,10000,"SVM",5,"poly",0.665282392026578,0.7007372777694,0.665282392026578,0.682549721126998
"85","de","d_fr_lab",3611,10000,"SVM",1,"rbf",0.711327237003921,0.723933407426286,0.711345597799521,0.717584303257718
"86","de","d_fr_lab",3611,10000,"SVM",1,"linear",0.686196527431757,0.698768165127758,0.686221358287559,0.69243793010019
"87","de","d_fr_lab",3611,10000,"SVM",1,"sigmoid",0.552435656246247,0.552585942137011,0.552445022548833,0.552515473357504
"88","de","d_fr_lab",3611,10000,"SVM",1,"poly",0.681214001383009,0.717549380714389,0.681247980546971,0.698927636113936
"89","de","d_fr_lab",3611,10000,"SVM",3,"rbf",0.732097653990921,0.744797304791533,0.732112306443194,0.738400330657666
"90","de","d_fr_lab",3611,10000,"SVM",3,"linear",0.702605961709135,0.717771663277427,0.702627256609307,0.710118724506963
"91","de","d_fr_lab",3611,10000,"SVM",3,"sigmoid",0.550150567903416,0.550234273521482,0.550158380350342,0.550196324318767
"92","de","d_fr_lab",3611,10000,"SVM",3,"poly",0.702398234247564,0.730130458045934,0.702423067469753,0.716008814831687
"93","de","d_fr_lab",3611,10000,"SVM",5,"rbf",0.736043440574073,0.747483085569636,0.736055763139217,0.74172541347529
"94","de","d_fr_lab",3611,10000,"SVM",5,"linear",0.711330342563978,0.725288428594671,0.711346288210813,0.718249706105255
"95","de","d_fr_lab",3611,10000,"SVM",5,"sigmoid",0.548904375665107,0.548980198892779,0.548912015365794,0.548946105012051
"96","de","d_fr_lab",3611,10000,"SVM",5,"poly",0.714651997841291,0.73873592041014,0.714674243240183,0.72650590738607
"97","de","d_fr_lab",3611,10000,"SVM",1,"rbf",0.708673219628428,0.721439495677306,0.708668412946961,0.714996930449416
"98","de","d_fr_lab",3611,10000,"SVM",1,"linear",0.676547581090774,0.689211424751121,0.676545071429952,0.682819512691179
"99","de","d_fr_lab",3611,10000,"SVM",1,"sigmoid",0.552752423372031,0.552864483826312,0.552756743247087,0.552810608287147
"100","de","d_fr_lab",3611,10000,"SVM",1,"poly",0.672671957160754,0.712366250221846,0.672661392844946,0.691944708091072
"101","de","d_fr_lab",3611,10000,"SVM",3,"rbf",0.734152902134371,0.747443870432375,0.734146085506058,0.740735301847886
"102","de","d_fr_lab",3611,10000,"SVM",3,"linear",0.696211757328317,0.711486401021962,0.696206604198253,0.703763575370252
"103","de","d_fr_lab",3611,10000,"SVM",3,"sigmoid",0.547351451860829,0.547409191910951,0.54735565571122,0.547382422502072
"104","de","d_fr_lab",3611,10000,"SVM",3,"poly",0.696904182200218,0.728695992589352,0.696891607268282,0.712439027298306
"105","de","d_fr_lab",3611,10000,"SVM",5,"rbf",0.739137671087604,0.751200724693475,0.739130164621668,0.745116563425393
"106","de","d_fr_lab",3611,10000,"SVM",5,"linear",0.707290440257996,0.72206250195634,0.707281952004448,0.714595805703397
"107","de","d_fr_lab",3611,10000,"SVM",5,"sigmoid",0.546105202112149,0.546156876824697,0.546109463329495,0.546133169048025
"108","de","d_fr_lab",3611,10000,"SVM",5,"poly",0.706042752750031,0.732699818199964,0.706031271949326,0.719118378886331
"109","ro","d_fr_wel",269,10000,"SVM",1,"rbf",0.844444444444444,0.850678733031674,0.844444444444444,0.847550124569937
"110","ro","d_fr_wel",269,10000,"SVM",1,"linear",0.794444444444444,0.802857142857143,0.794444444444445,0.798628639570705
"111","ro","d_fr_wel",269,10000,"SVM",1,"sigmoid",0.844444444444444,0.845126175160811,0.844444444444444,0.844785172265681
"112","ro","d_fr_wel",269,10000,"SVM",1,"poly",0.661111111111111,0.757142857142857,0.661111111111111,0.705875769445999
"113","ro","d_fr_wel",269,10000,"SVM",3,"rbf",0.877777777777778,0.880786460925834,0.877777777777778,0.879279545611795
"114","ro","d_fr_wel",269,10000,"SVM",3,"linear",0.833333333333333,0.834821428571429,0.833333333333333,0.834076717216771
"115","ro","d_fr_wel",269,10000,"SVM",3,"sigmoid",0.9,0.900791687283523,0.9,0.900395669615871
"116","ro","d_fr_wel",269,10000,"SVM",3,"poly",0.677777777777778,0.733614536015574,0.677777777777778,0.704591664708347
"117","ro","d_fr_wel",269,10000,"SVM",5,"rbf",0.883333333333333,0.885666376847597,0.883333333333333,0.884498316624402
"118","ro","d_fr_wel",269,10000,"SVM",5,"linear",0.872222222222222,0.877866900614112,0.872222222222222,0.875035458340577
"119","ro","d_fr_wel",269,10000,"SVM",5,"sigmoid",0.9,0.9,0.9,0.9
"120","ro","d_fr_wel",269,10000,"SVM",5,"poly",0.683333333333333,0.737561990081587,0.683333333333333,0.709412839801771
"121","ro","d_fr_wel",269,10000,"SVM",1,"rbf",0.799317194289261,0.823749645261482,0.799843945068664,0.811620802076312
"122","ro","d_fr_wel",269,10000,"SVM",1,"linear",0.73800434512725,0.776770568692593,0.738732833957553,0.757274345331928
"123","ro","d_fr_wel",269,10000,"SVM",1,"sigmoid",0.81887026691496,0.829479398881045,0.819225967540574,0.824320799753524
"124","ro","d_fr_wel",269,10000,"SVM",1,"poly",0.601505276225947,0.733748943364328,0.602746566791511,0.661827373364207
"125","ro","d_fr_wel",269,10000,"SVM",3,"rbf",0.877436374922408,0.881239190058877,0.877590511860175,0.879411066382604
"126","ro","d_fr_wel",269,10000,"SVM",3,"linear",0.813314711359404,0.82635133506844,0.813701622971286,0.819977695468284
"127","ro","d_fr_wel",269,10000,"SVM",3,"sigmoid",0.885754189944134,0.88890850186961,0.885923845193508,0.887413663949319
"128","ro","d_fr_wel",269,10000,"SVM",3,"poly",0.637771570453135,0.732615027127648,0.638826466916355,0.682513795043113
"129","ro","d_fr_wel",269,10000,"SVM",5,"rbf",0.880214152700186,0.883679148019758,0.880368289637953,0.882020611830996
"130","ro","d_fr_wel",269,10000,"SVM",5,"linear",0.866278708876474,0.874189860563466,0.866510611735331,0.870333297318306
"131","ro","d_fr_wel",269,10000,"SVM",5,"sigmoid",0.896927374301676,0.897496871088861,0.897003745318352,0.897250240448538
"132","ro","d_fr_wel",269,10000,"SVM",5,"poly",0.65451582867784,0.743354581785433,0.655493133583021,0.696664574455819
"133","ro","d_fr_wel",269,10000,"SVM",1,"rbf",0.815932133250569,0.835652916660808,0.816125676238036,0.825773871440233
"134","ro","d_fr_wel",269,10000,"SVM",1,"linear",0.758297123939582,0.787468825755431,0.758614232209738,0.772772271918937
"135","ro","d_fr_wel",269,10000,"SVM",1,"sigmoid",0.828967515001035,0.838606262514122,0.829067831876821,0.833809769186138
"136","ro","d_fr_wel",269,10000,"SVM",1,"poly",0.613294020277261,0.729023974413271,0.61354556803995,0.666318450333409
"137","ro","d_fr_wel",269,10000,"SVM",3,"rbf",0.877322573970619,0.88150123219115,0.877320016645859,0.879405654452555
"138","ro","d_fr_wel",269,10000,"SVM",3,"linear",0.81967721911856,0.832088966206564,0.819766957969205,0.825882004118797
"139","ro","d_fr_wel",269,10000,"SVM",3,"sigmoid",0.881005586592179,0.883905642768492,0.881044527673741,0.882472766181258
